---------------------
  #    meV     cm^-1
---------------------
  0    3.8i     30.7i
  1    3.8i     30.7i
  2    7.4      59.7
  3    7.4      60.1
  4    8.4      68.0
  5   12.3      99.2
  6   12.5     100.6
  7   14.9     120.5
  8   15.1     121.8
  9   15.5     124.7
 10   15.5     125.2
 11   15.6     126.1
 12   16.0     129.1
 13   16.1     129.9
 14   16.2     130.8
 15   16.3     131.2
 16   16.7     134.5
 17   17.0     136.7
 18   18.0     145.2
 19   21.7     175.1
 20   22.0     177.0
 21   22.1     178.4
 22   22.6     182.4
 23   23.4     189.0
 24   23.6     190.0
 25   31.5     254.1
 26   31.8     256.6
 27   35.7     287.6
 28   37.5     302.6
 29   39.7     320.4
 30   45.3     365.6
 31   47.6     383.8
 32  116.1     936.7
---------------------
Zero-point energy: 0.381 eV
